date_1984_01_31,date_1984_02_29,date_1984_03_30,date_1984_04_30,date_1984_05_31,date_1984_06_29,date_1984_07_31,date_1984_08_31,date_1984_09_28,date_1984_10_31,date_1984_11_30,date_1984_12_31,date_1985_01_31,date_1985_02_28,date_1985_03_29,date_1985_04_30,date_1985_05_31,date_1985_06_28,date_1985_07_31,date_1985_08_30,date_1985_09_30,date_1985_10_31,date_1985_11_29,date_1985_12_31,date_1986_01_31,date_1986_02_28,date_1986_03_31,date_1986_04_30,date_1986_05_30,date_1986_06_30,date_1986_07_31,date_1986_08_29,date_1986_09_30,date_1986_10_31,date_1986_11_28,date_1986_12_31,date_1987_01_30,date_1987_02_27,date_1987_03_31,date_1987_04_30,date_1987_05_29,date_1987_06_30,date_1987_07_31,date_1987_08_31,date_1987_09_30,date_1987_10_30,date_1987_11_30,date_1987_12_31,date_1988_01_29,date_1988_02_29,date_1988_03_31,date_1988_04_29,date_1988_05_31,date_1988_06_30,date_1988_07_29,date_1988_08_31,date_1988_09_30,date_1988_10_31,date_1988_11_30,date_1988_12_30,date_1989_01_31,date_1989_02_28,date_1989_03_31,date_1989_04_28,date_1989_05_31,date_1989_06_30,date_1989_07_31,date_1989_08_31,date_1989_09_29,date_1989_10_31,date_1989_11_30,date_1989_12_29,date_1990_01_31,date_1990_02_28,date_1990_03_30,date_1990_04_30,date_1990_05_31,date_1990_06_29,date_1990_07_31,date_1990_08_31,date_1990_09_28,date_1990_10_31,date_1990_11_30,date_1990_12_31,date_1991_01_31,date_1991_02_28,date_1991_03_28,date_1991_04_30,date_1991_05_31,date_1991_06_28,date_1991_07_31,date_1991_08_30,date_1991_09_30,date_1991_10_31,date_1991_11_29,date_1991_12_31,date_1992_01_31,date_1992_02_28,date_1992_03_31,date_1992_04_30,date_1992_05_29,date_1992_06_30,date_1992_07_31,date_1992_08_31,date_1992_09_30,date_1992_10_30,date_1992_11_30,date_1992_12_31,date_1993_01_29,date_1993_02_26,date_1993_03_31,date_1993_04_30,date_1993_05_28,date_1993_06_30,date_1993_07_30,date_1993_08_31,date_1993_09_30,date_1993_10_29,date_1993_11_30,date_1993_12_31,date_1994_01_31,date_1994_02_28,date_1994_03_31,date_1994_04_29,date_1994_05_31,date_1994_06_30,date_1994_07_29,date_1994_08_31,date_1994_09_30,date_1994_10_31,date_1994_11_30,date_1994_12_30,date_1995_01_31,date_1995_02_28,date_1995_03_31,date_1995_04_28,date_1995_05_31,date_1995_06_30,date_1995_07_31,date_1995_08_31,date_1995_09_29,date_1995_10_31,date_1995_11_30,date_1995_12_29,date_1996_01_31,date_1996_02_29,date_1996_03_29,date_1996_04_30,date_1996_05_31,date_1996_06_28,date_1996_07_31,date_1996_08_30,date_1996_09_30,date_1996_10_31,date_1996_11_29,date_1996_12_31,date_1997_01_31,date_1997_02_28,date_1997_03_31,date_1997_04_30,date_1997_05_30,date_1997_06_30,date_1997_07_31,date_1997_08_29,date_1997_09_30,date_1997_10_31,date_1997_11_28,date_1997_12_31,date_1998_01_30,date_1998_02_27,date_1998_03_31,date_1998_04_30,date_1998_05_29,date_1998_06_30,date_1998_07_31,date_1998_08_31,date_1998_09_30,date_1998_10_30,date_1998_11_30,date_1998_12_31,date_1999_01_29,date_1999_02_26,date_1999_03_31,date_1999_04_30,date_1999_05_28,date_1999_06_30,date_1999_07_30,date_1999_08_31,date_1999_09_30,date_1999_10_29,date_1999_11_30,date_1999_12_31,date_2000_01_31,date_2000_02_29,date_2000_03_31,date_2000_04_28,date_2000_05_31,date_2000_06_30,date_2000_07_31,date_2000_08_31,date_2000_09_29,date_2000_10_31,date_2000_11_30,date_2000_12_29,date_2001_01_31,date_2001_02_28,date_2001_03_30,date_2001_04_30,date_2001_05_31,date_2001_06_29,date_2001_07_31,date_2001_08_31,date_2001_09_28,date_2001_10_31,date_2001_11_30,date_2001_12_31,date_2002_01_31,date_2002_02_28,date_2002_03_28,date_2002_04_30,date_2002_05_31,date_2002_06_28,date_2002_07_31,date_2002_08_30,date_2002_09_30,date_2002_10_31,date_2002_11_29,date_2002_12_31,date_2003_01_31,date_2003_02_28,date_2003_03_31,date_2003_04_30,date_2003_05_30,date_2003_06_30,date_2003_07_31,date_2003_08_29,date_2003_09_30,date_2003_10_31,date_2003_11_28,date_2003_12_31,date_2004_01_30,date_2004_02_27,date_2004_03_31,date_2004_04_30,date_2004_05_28,date_2004_06_30,date_2004_07_30,date_2004_08_31,date_2004_09_30,date_2004_10_29,date_2004_11_30,date_2004_12_31,date_2005_01_31,date_2005_02_28,date_2005_03_31,date_2005_04_29,date_2005_05_31,date_2005_06_30,date_2005_07_29,date_2005_08_31,date_2005_09_30,date_2005_10_31,date_2005_11_30,date_2005_12_30,date_2006_01_31,date_2006_02_28,date_2006_03_31,date_2006_04_28,date_2006_05_31,date_2006_06_30,date_2006_07_31,date_2006_08_31,date_2006_09_29,date_2006_10_31,date_2006_11_30,date_2006_12_29,date_2007_01_31,date_2007_02_28,date_2007_03_30,date_2007_04_30,date_2007_05_31,date_2007_06_29,date_2007_07_31,date_2007_08_31,date_2007_09_28,date_2007_10_31,date_2007_11_30,date_2007_12_31,date_2008_01_31,date_2008_02_29,date_2008_03_31,date_2008_04_30,date_2008_05_30,date_2008_06_30,date_2008_07_31,date_2008_08_29,date_2008_09_30,date_2008_10_31,date_2008_11_28,date_2008_12_31,date_2009_01_30,date_2009_02_27,date_2009_03_31,date_2009_04_30,date_2009_05_29,date_2009_06_30,date_2009_07_31,date_2009_08_31,date_2009_09_30,date_2009_10_30,date_2009_11_30,date_2009_12_31,date_2010_01_29,date_2010_02_26,date_2010_03_31,date_2010_04_30,date_2010_05_28,date_2010_06_30,date_2010_07_30,date_2010_08_31,date_2010_09_30,date_2010_10_29,date_2010_11_30,date_2010_12_31,date_2011_01_31,date_2011_02_28,date_2011_03_31,date_2011_04_29,date_2011_05_31,date_2011_06_30,date_2011_07_29,date_2011_08_31,date_2011_09_30,date_2011_10_31,date_2011_11_30,date_2011_12_30,date_2012_01_31,date_2012_02_29,date_2012_03_30,date_2012_04_30,date_2012_05_31,date_2012_06_29,date_2012_07_31,date_2012_08_31,date_2012_09_28,date_2012_10_31,date_2012_11_30,date_2012_12_31,date_2013_01_31,date_2013_02_28,date_2013_03_28,date_2013_04_30,date_2013_05_31,date_2013_06_28,date_2013_07_31,date_2013_08_30,date_2013_09_30,date_2013_10_31,date_2013_11_29,date_2013_12_31,date_2014_01_31,date_2014_02_28,date_2014_03_31,date_2014_04_30,date_2014_05_30,date_2014_06_30,date_2014_07_31,date_2014_08_29,date_2014_09_30,date_2014_10_31,date_2014_11_28,date_2014_12_31,date_2015_01_30,date_2015_02_27,date_2015_03_31,date_2015_04_30,date_2015_05_29,date_2015_06_30,date_2015_07_31,date_2015_08_31,date_2015_09_30,date_2015_10_30,date_2015_11_30,date_2015_12_31,date_2016_01_29,date_2016_02_29,date_2016_03_31,date_2016_04_29,date_2016_05_31,date_2016_06_30,date_2016_07_29,date_2016_08_31,date_2016_09_30,date_2016_10_31,date_2016_11_30,date_2016_12_30,date_2017_01_31,date_2017_02_28,date_2017_03_31,date_2017_04_28,date_2017_05_31,date_2017_06_30,date_2017_07_31,date_2017_08_31,date_2017_09_29,date_2017_10_31,date_2017_11_30,date_2017_12_29,date_2018_01_31,date_2018_02_28,date_2018_03_29,date_2018_04_30,date_2018_05_31,date_2018_06_29,date_2018_07_31,date_2018_08_31,date_2018_09_28,date_2018_10_31,date_2018_11_30,date_2018_12_31,date_2019_01_31,date_2019_02_28,date_2019_03_29,date_2019_04_30,date_2019_05_31,date_2019_06_28,date_2019_07_31,date_2019_08_30,date_2019_09_30,date_2019_10_31,date_2019_11_29,date_2019_12_31,date_2020_01_31,date_2020_02_28,date_2020_03_31,date_2020_04_30,date_2020_05_29,date_2020_06_30,date_2020_07_31,date_2020_08_31,date_2020_09_30,date_2020_10_30
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,1844030D NA,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,3577044Z NA,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,63DU GY,63DU GY,63DU GY,63DU GY,63DU GY,63DU GY,63DU GY,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ACA FP,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,ABI BB,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AD NA,AGN NA,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AGS BB,AGS BB,AGS BB,AGS BB,AGS BB,AGS BB,AGS BB,AGS BB,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AGN NA,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,ACA FP,ACA FP,AI FP,AI FP,AI FP,AI FP,AI FP,ALV GY,ALV GY,ALV GY,ALV GY,ALV GY,ALV GY,ALV GY,ALV GY,ALV GY,ALV GY,ALV GY,ALV GY,ALV GY,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,AIR FP,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,ADS GY,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,AI FP,ADYEN NA,ADYEN NA
